Customer_id,Fullname,Gender,Date_of_birth,Address,Phone_number,Email,Customer_image,Accumulated_points,Customer_segment
TKH00340,"Nguyễn Thanh Chương",Nam,1890-11-19,"Quan Hoa-Cầu Giấy-Hà Nội",0373043988,ChuongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,250,Đồng
TKH00380,"Nguyễn Thanh Bình",Nữ,1999-07-11,"Phước Long B-Thủ Đức-Hồ Chí Minh",0303775211,ChuongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,100,Đồng
TKH00470,"Phạm Thị Anh",Nam,2001-05-08,"Bình Hiên-Hải Châu-Đà Nẵng",0375262549,AnhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,300,Đồng
TKH00520,"Nguyễn Quốc Anh",Nam,1968-06-11,"Bình Hiên-Hải Châu-Đà Nẵng",0362874827,BongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,350,Đồng
TKH00550,"Bùi Thị Chung",Nam,1998-11-19,"Thọ Quang-Sơn Trà-Đà Nẵng",0397573425,ChuongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,200,Đồng
TKH00560,"Phạm Văn Chung",Nữ,1998-08-19,"Bình Hiên-Hải Châu-Đà Nẵng",0357608892,BinhPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,300,Đồng
TKH00570,"Phạm Thanh Chung",Nam,1968-02-16,"Thọ Quang-Sơn Trà-Đà Nẵng",0363085981,CanhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,350,Đồng
TKH0060,"Bùi Ngọc Bông",Nam,2004-09-02,"Thanh Khê Tây-Thanh Khê-Đà Nẵng",0389108480,AnhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,400,Đồng
TKH00610,"Bùi Trung Bông",Nam,1999-05-10,"Phước Long B-Thủ Đức-Hồ Chí Minh",0347882452,AnhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,300,Đồng
TKH00620,"Nguyễn Văn An",Nữ,1957-07-12,"Vĩnh Phúc-Ba Đình-Hà Nội",0317222800,BinhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,200,Đồng
TKH00660,"Bùi Văn Chương",Nữ,1987-08-01,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0398869073,CongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,300,Đồng
TKH00720,"Nguyễn Thanh Chương",Nữ,2000-09-08,"Bình Hiên-Hải Châu-Đà Nẵng",0387608883,BongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,350,Đồng
TKH00830,"Bùi Trung Bình",Nam,2003-02-04,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0358702811,ChungNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,200,Đồng
TKH00860,"Bùi Ngọc Bông",Nữ,1999-12-02,"Thanh Khê Tây-Thanh Khê-Đà Nẵng",0302838471,AnPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,50,Đồng
TKH00880,"Nguyễn Quốc Bông",Nam,1999-01-13,"Quan Hoa-Cầu Giấy-Hà Nội",0337648166,ChuongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,400,Đồng
TKH00910,"Nguyễn Ngọc Chương",Nam,1993-08-10,"Thanh Khê Tây-Thanh Khê-Đà Nẵng",0382216849,ChungNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,100,Đồng
TKH00920,"Phạm Ngọc Công",Nam,2000-08-13,"Bình Hiên-Hải Châu-Đà Nẵng",0339181925,BongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,400,Đồng
TKH0111,"Nguyễn Ngọc Chương",Nam,1966-12-07,"Quan Hoa-Cầu Giấy-Hà Nội",0397136084,CongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,100,Đồng
TKH01111,"Phạm Văn Anh",Nam,1999-02-13,"Vĩnh Phúc-Ba Đình-Hà Nội",0388684232,ChuongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,250,Đồng
TKH01171,"Phạm Thanh Công",Nam,1890-05-11,"Thọ Quang-Sơn Trà-Đà Nẵng",0346350786,BongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,100,Đồng
TKH01201,"Phạm Văn Anh",Nữ,1999-09-13,"Thảo Điền-Thủ Đức-Hồ Chí Minh",0394264152,CongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,150,Đồng
TKH01221,"Bùi Ngọc Cảnh",Nữ,1957-12-16,"Thọ Quang-Sơn Trà-Đà Nẵng",0377177167,CanhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,200,Đồng
TKH01331,"Nguyễn Quốc Công",Nam,1890-05-02,"Bình Hiên-Hải Châu-Đà Nẵng",0394881128,BongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,200,Đồng
TKH01371,"Bùi Thanh Công",Nữ,1987-07-05,"Phước Long B-Thủ Đức-Hồ Chí Minh",0375803942,BinhPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,350,Đồng
TKH01421,"Phạm Thị Chung",Nam,2004-05-13,"Vĩnh Phúc-Ba Đình-Hà Nội",0363544807,AnBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,100,Đồng
TKH01431,"Bùi Thanh Chương",Nam,1966-04-11,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0361514909,ChungBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,300,Đồng
TKH01451,"Bùi Thị Công",Nữ,1957-10-04,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0375440654,AnhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,50,Đồng
TKH01461,"Bùi Thanh Cảnh",Nữ,1999-05-02,"Thọ Quang-Sơn Trà-Đà Nẵng",0358111680,BinhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,150,Đồng
TKH01481,"Nguyễn Thị Công",Nam,1987-12-08,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0380759683,AnPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,350,Đồng
TKH01601,"Phạm Văn Chương",Nữ,1999-08-08,"Quan Hoa-Cầu Giấy-Hà Nội",0399970388,BinhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,400,Đồng
TKH01651,"Bùi Quốc Công",Nữ,2004-03-13,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0356624254,AnhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,350,Đồng
TKH01691,"Nguyễn Văn Cảnh",Nữ,1999-05-16,"Vĩnh Phúc-Ba Đình-Hà Nội",0327934723,CongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,100,Đồng
TKH01701,"Phạm Thị Bình",Nữ,1966-02-12,"Quan Hoa-Cầu Giấy-Hà Nội",0308067686,ChuongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,150,Đồng
TKH01761,"Phạm Thanh Chung",Nữ,1957-10-10,"Bình Hiên-Hải Châu-Đà Nẵng",0324333795,CongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,100,Đồng
TKH01781,"Phạm Văn An",Nữ,2003-08-10,"Quan Hoa-Cầu Giấy-Hà Nội",0301745407,ChungNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,400,Đồng
TKH0181,"Nguyễn Quốc Bình",Nam,1987-10-07,"Bình Hiên-Hải Châu-Đà Nẵng",0381653899,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,100,Đồng
TKH01811,"Nguyễn Ngọc Chung",Nữ,1957-05-19,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0332584378,ChungNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,400,Đồng
TKH01861,"Bùi Trung Bình",Nam,1957-09-08,"Thảo Điền-Thủ Đức-Hồ Chí Minh",0345300350,CanhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,100,Đồng
TKH01881,"Nguyễn Văn Bông",Nam,1998-02-02,"Vĩnh Phúc-Ba Đình-Hà Nội",0387950884,BongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,200,Đồng
TKH01911,"Bùi Văn Chung",Nam,1999-02-01,"Thảo Điền-Thủ Đức-Hồ Chí Minh",0365495050,AnhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,350,Đồng
TKH01921,"Nguyễn Quốc Anh",Nữ,1966-12-10,"Quan Hoa-Cầu Giấy-Hà Nội",0324979911,CanhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,250,Đồng
TKH01931,"Nguyễn Thanh Công",Nữ,1999-02-01,"Phước Long B-Thủ Đức-Hồ Chí Minh",0397104015,AnhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,300,Đồng
TKH01971,"Bùi Quốc Bình",Nữ,2000-11-10,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0360451923,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,300,Đồng
TKH02112,"Bùi Quốc Bình",Nữ,1993-04-04,"Quan Hoa-Cầu Giấy-Hà Nội",0379054706,BinhPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,250,Đồng
TKH02172,"Bùi Quốc Bông",Nữ,1968-04-16,"Thanh Khê Tây-Thanh Khê-Đà Nẵng",0365530448,ChungBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,250,Đồng
TKH02182,"Nguyễn Thị Công",Nam,1968-11-12,"Thọ Quang-Sơn Trà-Đà Nẵng",0370599399,BongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,150,Đồng
TKH02232,"Phạm Thanh Công",Nam,1999-09-05,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0322425142,BinhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,150,Đồng
TKH02242,"Bùi Trung Chương",Nữ,2001-11-13,"Bình Hiên-Hải Châu-Đà Nẵng",0310152598,ChuongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,300,Đồng
TKH02332,"Nguyễn Ngọc Bông",Nam,2000-12-07,"Thảo Điền-Thủ Đức-Hồ Chí Minh",0333244652,ChungNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,250,Đồng
TKH02392,"Phạm Văn Chung",Nam,2000-10-12,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0392471143,CanhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,100,Đồng
TKH02452,"Bùi Ngọc Anh",Nam,1987-06-13,"Thanh Khê Tây-Thanh Khê-Đà Nẵng",0323278738,AnhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,100,Đồng
TKH02572,"Phạm Trung An",Nam,1987-11-08,"Phước Long B-Thủ Đức-Hồ Chí Minh",0363003940,CanhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,400,Đồng
TKH02642,"Phạm Thị Chung",Nam,1987-01-11,"Vĩnh Phúc-Ba Đình-Hà Nội",0312747641,ChungNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,350,Đồng
TKH02662,"Nguyễn Văn Bình",Nam,1957-03-10,"Bình Hiên-Hải Châu-Đà Nẵng",0393202912,ChungPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,50,Đồng
TKH0272,"Nguyễn Thanh Chung",Nữ,2003-09-01,"Thanh Khê Tây-Thanh Khê-Đà Nẵng",0306068325,CongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,400,Đồng
TKH02732,"Phạm Văn Cảnh",Nữ,1993-12-10,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0317727116,ChungBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,100,Đồng
TKH02742,"Nguyễn Thanh Bông",Nữ,2001-11-01,"Quan Hoa-Cầu Giấy-Hà Nội",0305290884,BongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,100,Đồng
TKH02772,"Phạm Thanh Chương",Nam,1968-05-16,"Thảo Điền-Thủ Đức-Hồ Chí Minh",0358350756,BinhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,400,Đồng
TKH02822,"Phạm Ngọc Anh",Nam,2000-01-16,"Thọ Quang-Sơn Trà-Đà Nẵng",0350231404,AnhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,350,Đồng
TKH02832,"Nguyễn Quốc Chung",Nữ,1999-02-10,"Quan Hoa-Cầu Giấy-Hà Nội",0397008463,ChungBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,100,Đồng
TKH02852,"Bùi Thị An",Nam,1966-05-07,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0340601675,BinhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,50,Đồng
TKH02862,"Bùi Quốc Anh",Nam,1993-12-01,"Thọ Quang-Sơn Trà-Đà Nẵng",0300664647,CongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,350,Đồng
TKH02872,"Phạm Thị Cảnh",Nam,1890-03-08,"Phước Long B-Thủ Đức-Hồ Chí Minh",0310308316,BinhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,250,Đồng
TKH02882,"Nguyễn Thanh Cảnh",Nữ,1993-09-04,"Thọ Quang-Sơn Trà-Đà Nẵng",0355902443,BinhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,300,Đồng
TKH02892,"Nguyễn Văn Anh",Nữ,1968-04-07,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0300516111,BongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,300,Đồng
TKH02992,"Nguyễn Quốc Công",Nam,1999-03-11,"Phước Long B-Thủ Đức-Hồ Chí Minh",0344841874,CongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,300,Đồng
TKH03103,"Bùi Thị Anh",Nam,2003-02-13,"Thọ Quang-Sơn Trà-Đà Nẵng",0332909282,AnhPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,100,Đồng
TKH0313,"Phạm Văn Bông",Nam,1999-10-19,"Thảo Điền-Thủ Đức-Hồ Chí Minh",0346436158,AnhPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,400,Đồng
TKH03163,"Nguyễn Thị Công",Nữ,1987-06-16,"Thọ Quang-Sơn Trà-Đà Nẵng",0346183975,CongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,100,Đồng
TKH0323,"Phạm Ngọc Bông",Nữ,1890-05-10,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0368789980,ChuongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,150,Đồng
TKH03263,"Nguyễn Ngọc Công",Nữ,2003-12-19,"Thảo Điền-Thủ Đức-Hồ Chí Minh",0335395992,AnhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,50,Đồng
TKH03283,"Bùi Trung Bông",Nam,1993-01-04,"Phước Long B-Thủ Đức-Hồ Chí Minh",0356497286,ChuongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,200,Đồng
TKH03313,"Nguyễn Ngọc Bông",Nữ,2001-12-12,"Vĩnh Phúc-Ba Đình-Hà Nội",0353004636,ChuongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,400,Đồng
TKH03333,"Bùi Trung Công",Nam,1987-05-02,"Phước Long B-Thủ Đức-Hồ Chí Minh",0367123421,CongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,400,Đồng
TKH03363,"Nguyễn Trung Chương",Nữ,2001-11-02,"Thảo Điền-Thủ Đức-Hồ Chí Minh",0364554743,BongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,350,Đồng
TKH03373,"Phạm Trung An",Nam,2003-05-16,"Quan Hoa-Cầu Giấy-Hà Nội",0374389816,CongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,250,Đồng
TKH03383,"Nguyễn Văn Chương",Nữ,1968-06-02,"Bình Hiên-Hải Châu-Đà Nẵng",0339967882,ChuongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,200,Đồng
TKH03433,"Bùi Thị Chương",Nam,2002-12-05,"Bình Hiên-Hải Châu-Đà Nẵng",0309303657,AnhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,150,Đồng
TKH03453,"Phạm Văn Anh",Nam,2002-01-13,"Thanh Khê Tây-Thanh Khê-Đà Nẵng",0333062471,CongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,350,Đồng
TKH03503,"Nguyễn Thanh Bông",Nam,2002-10-19,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0304349817,BongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,350,Đồng
TKH03573,"Phạm Trung Công",Nam,1968-03-07,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0338272348,BongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,300,Đồng
TKH03603,"Phạm Ngọc An",Nữ,2003-11-01,"Phước Long B-Thủ Đức-Hồ Chí Minh",0358849090,ChuongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,250,Đồng
TKH03633,"Phạm Thanh Bông",Nam,1987-11-10,"Vĩnh Phúc-Ba Đình-Hà Nội",0313869951,ChuongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,50,Đồng
TKH03643,"Nguyễn Trung Anh",Nam,2000-03-10,"Thọ Quang-Sơn Trà-Đà Nẵng",0397742527,AnhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,400,Đồng
TKH03663,"Bùi Thanh Bông",Nữ,1998-02-11,"Phước Long B-Thủ Đức-Hồ Chí Minh",0322439120,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,150,Đồng
TKH03723,"Nguyễn Thanh Công",Nam,2003-03-19,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0384813410,CanhPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,350,Đồng
TKH0373,"Phạm Quốc Bình",Nữ,1993-04-13,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0375186214,CongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,200,Đồng
TKH03743,"Bùi Ngọc Chung",Nữ,1968-08-04,"Thọ Quang-Sơn Trà-Đà Nẵng",0386517549,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,150,Đồng
TKH03763,"Bùi Ngọc Bình",Nam,2004-09-08,"Vĩnh Phúc-Ba Đình-Hà Nội",0301304441,ChuongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,400,Đồng
TKH03803,"Nguyễn Văn Anh",Nữ,2000-03-08,"Quan Hoa-Cầu Giấy-Hà Nội",0308672044,ChuongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,350,Đồng
