Employee_id,Fullname,Gender,Date_of_birth,Address,Native_land,Phone_number,Email,Customer_image
NV028,"Nguyễn Phương Cảnh",Nam,1994-07-01,"Quan Hoa-Cầu Giấy-Hà Nội","Thanh Hóa",0353025228,BongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV029,"Nguyễn Mỹ Bình",Nữ,1975-03-12,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Hà Nội",0363010645,ChungPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV03,"Nguyễn Ngọc Chương",Nam,1979-07-19,"Vĩnh Phúc-Ba Đình-Hà Nội","Lạng Sơn",0314285326,CanhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV030,"Nguyễn Thanh Chung",Nữ,1991-04-04,"Quan Hoa-Cầu Giấy-Hà Nội","Tiền Giang",0318092305,BongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV031,"Mai Ngọc Bình",Nữ,1975-05-11,"Vĩnh Phúc-Ba Đình-Hà Nội","Yên Bái",0398348998,ChuongHoang@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV032,"Hoàng Văn Anh",Nữ,1987-05-19,"Thọ Quang-Sơn Trà-Đà Nẵng","Thanh Hóa",0303735035,AnPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV033,"Bùi Quốc Chương",Nữ,1987-09-12,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Quảng Nam",0331238381,CongTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV034,"Phạm Trung Công",Nữ,1968-04-07,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Hà Nội",0390431787,CanhPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV035,"Phan Trung Anh",Nữ,1991-09-05,"Quan Hoa-Cầu Giấy-Hà Nội","Yên Bái",0381849901,ChungTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV036,"Trần Văn Chương",Nam,1994-04-19,"Vĩnh Phúc-Ba Đình-Hà Nội","Hà Nội",0373178380,CanhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV037,"Phan Thanh An",Nam,1998-02-16,"Bình Hiên-Hải Châu-Đà Nẵng","Tiền Giang",0384011592,CanhPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV038,"Phan Thị Bông",Nam,1968-05-04,"Vĩnh Phúc-Ba Đình-Hà Nội","Thanh Hóa",0338195904,ChuongTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV039,"Nguyễn Ngọc Chung",Nam,1957-12-10,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Hà Nội",0318718520,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV04,"Trần Thanh Chung",Nam,1957-03-07,"Bình Hiên-Hải Châu-Đà Nẵng","Thanh Hóa",0350260499,ChuongHoang@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV040,"Trần Ngọc Chương",Nam,1994-01-04,"Bình Hiên-Hải Châu-Đà Nẵng","Thanh Hóa",0332386884,AnhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV041,"Phạm Phương Công",Nữ,1991-01-19,"Thảo Điền-Thủ Đức-Hồ Chí Minh","Tiền Giang",0368408597,AnhPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV042,"Hoàng Thanh An",Nam,1993-09-02,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Quảng Nam",0377923002,AnhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV043,"Phan Trung Công",Nam,1991-06-01,"Bình Hiên-Hải Châu-Đà Nẵng","Tiền Giang",0306851766,CongMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV044,"Bùi Ngọc Chung",Nữ,1987-08-07,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội","Quảng Nam",0398094484,ChungNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV045,"Trần Thanh Cảnh",Nam,1890-02-02,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Tiền Giang",0379770832,BongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV046,"Trần Ngọc Chương",Nam,1998-01-02,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Tiền Giang",0321985527,AnBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV047,"Trần Văn Chung",Nam,1975-07-12,"Phước Long B-Thủ Đức-Hồ Chí Minh","Hà Nội",0343903885,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV048,"Nguyễn Thị Công",Nữ,1968-11-11,"Quan Hoa-Cầu Giấy-Hà Nội","Yên Bái",0320855000,AnTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV049,"Bùi Thanh Công",Nữ,1991-06-01,"Thọ Quang-Sơn Trà-Đà Nẵng","Thanh Hóa",0300624624,ChungTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV05,"Trần Thị Cảnh",Nam,1898-10-16,"Quan Hoa-Cầu Giấy-Hà Nội","Yên Bái",0395600769,AnPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV050,"Phạm Thị Anh",Nam,1898-12-05,"Quan Hoa-Cầu Giấy-Hà Nội","Lạng Sơn",0361043082,BongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV051,"Mai Văn Công",Nam,1898-12-13,"Thọ Quang-Sơn Trà-Đà Nẵng","Lạng Sơn",0307463762,AnhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV052,"Mai Mỹ Chung",Nữ,1975-08-12,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Yên Bái",0391912024,BongHoang@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV053,"Phan Ngọc Cảnh",Nam,1999-05-04,"Quan Hoa-Cầu Giấy-Hà Nội","Tiền Giang",0378551796,BinhMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV054,"Hoàng Quốc Công",Nữ,1987-05-10,"Bình Hiên-Hải Châu-Đà Nẵng","Yên Bái",0344628385,BinhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV055,"Phan Văn Công",Nữ,1890-11-07,"Phước Long B-Thủ Đức-Hồ Chí Minh","Hà Nội",0325537556,BongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV056,"Nguyễn Phương An",Nam,1966-05-10,"Bình Hiên-Hải Châu-Đà Nẵng","Quảng Nam",0309950919,CongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV057,"Nguyễn Thị Cảnh",Nữ,1993-11-11,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Yên Bái",0393244162,AnhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV058,"Phạm Quốc Anh",Nam,1979-12-02,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Tiền Giang",0379779977,ChungBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV059,"Mai Mỹ Chung",Nam,1993-10-10,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Yên Bái",0338716681,AnPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV06,"Nguyễn Ngọc Bình",Nữ,1999-11-11,"Bình Hiên-Hải Châu-Đà Nẵng","Tiền Giang",0309581694,ChungPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV060,"Bùi Mỹ Bình",Nữ,1987-03-02,"Quan Hoa-Cầu Giấy-Hà Nội","Hà Nội",0390356073,AnMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV061,"Nguyễn Thanh Công",Nam,1999-09-02,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội","Yên Bái",0301290318,BongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV062,"Phan Phương Chung",Nữ,1987-04-19,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Tiền Giang",0394823641,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV063,"Trần Thanh Chung",Nữ,1999-06-08,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Quảng Nam",0394108729,ChuongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV064,"Nguyễn Thị Cảnh",Nam,1998-07-13,"Phước Long B-Thủ Đức-Hồ Chí Minh","Lạng Sơn",0339719150,ChungNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV065,"Phan Văn An",Nam,1898-02-02,"Vĩnh Phúc-Ba Đình-Hà Nội","Hà Nội",0315176247,ChuongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV066,"Nguyễn Phương Công",Nữ,1987-06-02,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Lạng Sơn",0398170614,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV067,"Bùi Ngọc Cảnh",Nam,1994-01-07,"Bình Hiên-Hải Châu-Đà Nẵng","Yên Bái",0386325266,AnhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV068,"Mai Phương Cảnh",Nữ,1998-12-13,"Thảo Điền-Thủ Đức-Hồ Chí Minh","Tiền Giang",0358696688,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV069,"Bùi Văn Cảnh",Nam,1979-05-05,"Phước Long B-Thủ Đức-Hồ Chí Minh","Tiền Giang",0391300050,BongHoang@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV07,"Nguyễn Quốc Bình",Nam,1968-08-07,"Thảo Điền-Thủ Đức-Hồ Chí Minh","Quảng Nam",0361289570,AnhNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV070,"Nguyễn Ngọc Chung",Nữ,1968-04-02,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Thanh Hóa",0323428752,AnBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV071,"Bùi Phương Cảnh",Nữ,1898-11-12,"Thọ Quang-Sơn Trà-Đà Nẵng","Quảng Nam",0365359261,ChungHoang@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV072,"Trần Thanh Bông",Nam,1994-01-19,"Thảo Điền-Thủ Đức-Hồ Chí Minh","Thanh Hóa",0342234087,BongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV073,"Bùi Thị Chung",Nam,1968-04-10,"Quan Hoa-Cầu Giấy-Hà Nội","Lạng Sơn",0394702602,ChuongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV074,"Nguyễn Phương Công",Nữ,1957-09-04,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội","Thanh Hóa",0326257502,CongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV075,"Mai Quốc Cảnh",Nữ,1998-10-01,"Thọ Quang-Sơn Trà-Đà Nẵng","Tiền Giang",0358105002,AnhMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV076,"Bùi Văn Công",Nữ,1998-02-12,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Tiền Giang",0398907298,BongPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV077,"Phạm Thị Chương",Nữ,1987-11-04,"Thọ Quang-Sơn Trà-Đà Nẵng","Quảng Nam",0348345776,BongTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV078,"Phạm Mỹ Cảnh",Nam,1890-02-01,"Bình Hiên-Hải Châu-Đà Nẵng","Quảng Nam",0370056193,BongMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV079,"Nguyễn Phương Bông",Nam,1993-07-19,"Vĩnh Phúc-Ba Đình-Hà Nội","Thanh Hóa",0388992457,CanhPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV08,"Nguyễn Quốc Anh",Nam,1999-07-11,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Quảng Nam",0316417621,ChuongPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV080,"Hoàng Phương Chung",Nam,1890-06-13,"Vĩnh Phúc-Ba Đình-Hà Nội","Lạng Sơn",0388734792,AnhMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV081,"Trần Trung Bông",Nam,1890-05-04,"Bình Hiên-Hải Châu-Đà Nẵng","Lạng Sơn",0356038660,CongMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV082,"Mai Trung An",Nữ,1993-05-02,"Bình Hiên-Hải Châu-Đà Nẵng","Thanh Hóa",0383112523,AnhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV083,"Trần Văn Bình",Nam,1890-09-05,"Quan Hoa-Cầu Giấy-Hà Nội","Yên Bái",0316053971,ChuongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV084,"Phan Thị An",Nữ,1991-04-16,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội","Yên Bái",0300759547,BinhTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV085,"Nguyễn Phương Cảnh",Nữ,1898-01-04,"Thảo Điền-Thủ Đức-Hồ Chí Minh","Thanh Hóa",0304291145,CongPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV086,"Mai Ngọc Chương",Nữ,1987-02-10,"Vĩnh Phúc-Ba Đình-Hà Nội","Tiền Giang",0350292571,ChuongPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV087,"Nguyễn Quốc Cảnh",Nữ,1999-08-12,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Hà Nội",0387836221,ChuongMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV088,"Phạm Phương Chương",Nữ,1993-08-05,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Thanh Hóa",0363138101,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV089,"Nguyễn Thị Anh",Nam,1966-11-05,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Lạng Sơn",0368426127,CongMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV09,"Phạm Mỹ Bình",Nam,1998-05-01,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Hà Nội",0340169913,BinhMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV090,"Hoàng Quốc Công",Nam,1957-05-07,"Thọ Quang-Sơn Trà-Đà Nẵng","Yên Bái",0375018789,CongPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV091,"Phan Ngọc Cảnh",Nam,1957-12-08,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Yên Bái",0313748943,AnTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV092,"Nguyễn Văn Công",Nữ,1987-02-13,"Quan Hoa-Cầu Giấy-Hà Nội","Thanh Hóa",0353627528,ChungNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV093,"Trần Trung Anh",Nam,1994-10-16,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Quảng Nam",0334730380,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV094,"Nguyễn Quốc Anh",Nam,1957-07-08,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội","Hà Nội",0393371443,CanhHoang@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV095,"Bùi Trung Chung",Nam,1999-02-11,"Thọ Quang-Sơn Trà-Đà Nẵng","Yên Bái",0302408195,AnMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV096,"Mai Văn Bông",Nữ,1957-10-08,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Hà Nội",0336938690,ChuongTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV097,"Mai Văn Anh",Nam,1957-12-02,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Yên Bái",0362340478,BinhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV098,"Bùi Thị Bình",Nam,1957-09-10,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Lạng Sơn",0343110250,AnNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
